MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,speed_calc,acceleration,delta_heading,speed_ma,acceleration_ma,delta_heading_ma,LAT_pred,LON_pred,prediction_error
270995,2020-01-01 00:00:03,35.09744,-90.10038,0.0,245.1,511.0,0.0,,0.0,0.0,,0.0,,,
507027,2020-01-01 00:00:08,37.00643,-76.25625,0.1,308.3,511.0,0.0,,0.0,0.0,,0.0,37.00643,-76.25625,0.0
1056261,2020-01-01 00:00:12,26.11822,-80.14813,0.0,248.4,511.0,0.0,,0.0,0.0,,0.0,26.11822,-80.14813,0.0
1193046,2020-01-01 00:00:08,32.68644,-117.13303,0.0,0.0,511.0,0.0,,0.0,0.0,,0.0,32.68644,-117.13303,0.0
3669999,2020-01-01 00:00:01,33.7234,-118.28068,0.1,258.5,511.0,0.0,,0.0,0.0,,0.0,33.7234,-118.28068,0.0
9110192,2020-01-01 00:00:00,21.3161,-157.87851,0.0,314.7,314.0,0.0,,0.0,0.0,,0.0,21.3161,-157.87851,0.0
12345678,2020-01-01 00:00:06,30.05201,-90.5406,0.0,162.2,511.0,0.0,,0.0,0.0,,0.0,30.05201,-90.5406,0.0
36949428,2020-01-01 00:00:33,39.2014,-76.57479,0.0,87.6,63.0,0.0,,0.0,0.0,,0.0,39.2014,-76.57479,0.0
67649790,2020-01-01 00:00:06,41.72427,-87.54009,0.0,0.0,511.0,0.0,,0.0,0.0,,0.0,41.72427,-87.54009,0.0
200000000,2020-01-01 00:00:06,29.55385,-90.53179,0.0,160.1,99.0,0.0,,0.0,0.0,,0.0,29.55385,-90.53179,0.0
205460000,2020-01-01 00:00:09,25.28293,-90.92744,13.6,115.0,111.0,0.0,,0.0,0.0,,0.0,25.28293,-90.92744,0.0
205692000,2020-01-01 00:01:00,15.91152,-67.43655,13.3,104.4,103.0,0.0,,0.0,0.0,,0.0,15.91152,-67.43655,0.0
205706000,2020-01-01 00:01:07,28.93657,-95.3337,0.0,125.7,126.0,0.0,,0.0,0.0,,0.0,28.93657,-95.3337,0.0
209430000,2020-01-01 00:00:08,35.5956,-129.48268,9.9,289.0,289.0,0.0,,0.0,0.0,,0.0,35.5956,-129.48268,0.0
210279000,2020-01-01 00:00:12,24.66289,-79.73941,12.8,55.8,60.0,0.0,,0.0,0.0,,0.0,24.66289,-79.73941,0.0
210959000,2020-01-01 00:00:06,28.84297,-86.33234,13.2,203.5,203.0,0.0,,0.0,0.0,,0.0,28.84297,-86.33234,0.0
211839000,2020-01-01 00:00:04,36.50047,-75.39898,16.3,138.7,137.0,0.0,,0.0,0.0,,0.0,36.50047,-75.39898,0.0
212151000,2020-01-01 00:00:02,34.74697,-121.14918,16.5,326.0,325.0,0.0,,0.0,0.0,,0.0,34.74697,-121.14918,0.0
212151000,2020-01-01 00:01:08,34.75131,-121.1527,17.0,325.6,325.0,8.786787248787604,0.1331331401331455,0.0,4.393393624393802,0.1331331401331455,0.0,34.75131,-121.1527,0.0
212254000,2020-01-01 00:00:07,18.29815,-64.67112,8.7,232.2,232.0,0.0,,0.0,0.0,,0.0,18.29815,-64.67112,0.0
212275000,2020-01-01 00:00:10,42.29776,-125.21449,0.7,160.8,185.0,0.0,,0.0,0.0,,0.0,42.29776,-125.21449,0.0
212348000,2020-01-01 00:00:02,37.03795,-126.11355,15.1,119.0,115.0,0.0,,0.0,0.0,,0.0,37.03795,-126.11355,0.0
212911000,2020-01-01 00:00:00,49.28918,-123.06809,0.0,285.4,180.0,0.0,,0.0,0.0,,0.0,49.28918,-123.06809,0.0
212960000,2020-01-01 00:00:14,27.62758,-82.56323,0.0,360.0,351.0,0.0,,0.0,0.0,,0.0,27.62758,-82.56323,0.0
214182626,2020-01-01 00:00:30,25.77744,-80.09276,0.0,286.0,19.0,0.0,,0.0,0.0,,0.0,25.77744,-80.09276,0.0
215000154,2020-01-01 00:00:19,37.92193,-122.37252,0.0,360.0,511.0,0.0,,0.0,0.0,,0.0,37.92193,-122.37252,0.0
215052000,2020-01-01 00:00:11,29.24827,-94.60245,0.1,105.0,176.0,0.0,,0.0,0.0,,0.0,29.24827,-94.60245,0.0
218433000,2020-01-01 00:00:03,33.04479,-124.53005,14.5,149.5,150.0,0.0,,0.0,0.0,,0.0,33.04479,-124.53005,0.0
218433000,2020-01-01 00:01:08,33.04098,-124.52742,14.4,149.9,149.0,7.530247500047308,0.11584996153918935,-1.0,3.765123750023654,0.11584996153918935,-0.5,33.04098,-124.52742,0.0
219005000,2020-01-01 00:00:02,40.51499,-74.25441,7.9,217.3,214.0,0.0,,0.0,0.0,,0.0,40.51499,-74.25441,0.0
219005000,2020-01-01 00:01:11,40.51285,-74.25619,7.8,208.3,205.0,4.080319168481123,0.05913506041276989,-9.0,2.0401595842405613,0.05913506041276989,-4.5,40.51285,-74.25619,0.0
219033000,2020-01-01 00:00:02,35.16659,-127.96663,20.5,106.0,103.0,0.0,,0.0,0.0,,0.0,35.16659,-127.96663,0.0
219190000,2020-01-01 00:00:11,28.60442,-94.68257,10.7,270.7,269.0,0.0,,0.0,0.0,,0.0,28.60442,-94.68257,0.0
220187000,2020-01-01 00:00:03,36.99996,-74.51583,18.2,188.8,191.0,0.0,,0.0,0.0,,0.0,36.99996,-74.51583,0.0
220187000,2020-01-01 00:01:05,36.99481,-74.51703,18.2,191.1,190.0,9.394927320269895,0.15153108581080477,-1.0,4.6974636601349475,0.15153108581080477,-0.5,36.99481,-74.51703,0.0
220245000,2020-01-01 00:00:08,25.77447,-80.05076,7.1,63.3,74.0,0.0,,0.0,0.0,,0.0,25.77447,-80.05076,0.0
220263000,2020-01-01 00:00:00,33.00687,-127.36658,17.1,116.6,116.0,0.0,,0.0,0.0,,0.0,33.00687,-127.36658,0.0
220379000,2020-01-01 00:00:08,34.21782,-119.90853,8.4,286.8,287.0,0.0,,0.0,0.0,,0.0,34.21782,-119.90853,0.0
220565000,2020-01-01 00:00:22,28.55833,-89.18521,10.7,316.7,319.0,0.0,,0.0,0.0,,0.0,28.55833,-89.18521,0.0
220589000,2020-01-01 00:00:27,32.69647,-117.15531,0.0,77.4,128.0,0.0,,0.0,0.0,,0.0,32.69647,-117.15531,0.0
220644000,2020-01-01 00:00:04,39.45323,-75.55768,13.6,150.9,144.0,0.0,,0.0,0.0,,0.0,39.45323,-75.55768,0.0
220644000,2020-01-01 00:01:10,39.44989,-75.55453,13.6,141.0,139.0,6.961131870145778,0.10547169500220875,-5.0,3.480565935072889,0.10547169500220875,-2.5,39.44989,-75.55453,0.0
224383000,2020-01-01 00:00:08,17.63734,-67.89927,17.3,318.7,320.0,0.0,,0.0,0.0,,0.0,17.63734,-67.89927,0.0
227055470,2020-01-01 00:00:19,18.43596,-64.74996,0.0,360.0,81.0,0.0,,0.0,0.0,,0.0,18.43596,-64.74996,0.0
228335900,2020-01-01 00:00:06,39.78067,-73.874,13.0,182.9,182.0,0.0,,0.0,0.0,,0.0,39.78067,-73.874,0.0
229373000,2020-01-01 00:00:14,29.60538,-89.86499,10.7,100.6,99.0,0.0,,0.0,0.0,,0.0,29.60538,-89.86499,0.0
229570000,2020-01-01 00:00:56,30.08158,-88.0322,0.0,130.0,236.0,0.0,,0.0,0.0,,0.0,30.08158,-88.0322,0.0
229697000,2020-01-01 00:00:19,48.60477,-122.54609,0.1,64.1,136.0,0.0,,0.0,0.0,,0.0,48.60477,-122.54609,0.0
229796000,2020-01-01 00:01:00,29.74295,-93.86956,0.0,145.9,213.0,0.0,,0.0,0.0,,0.0,29.74295,-93.86956,0.0
232007052,2020-01-01 00:00:02,33.08242,-119.89191,0.4,136.9,324.0,0.0,,0.0,0.0,,0.0,33.08242,-119.89191,0.0
235003070,2020-01-01 00:00:07,41.2229,-71.1526,3.2,60.6,86.0,0.0,,0.0,0.0,,0.0,41.2229,-71.1526,0.0
235010170,2020-01-01 00:00:00,29.12617,-94.41198,14.1,3.5,4.0,0.0,,0.0,0.0,,0.0,29.12617,-94.41198,0.0
235011460,2020-01-01 00:00:07,39.21907,-74.25449,4.0,93.0,95.0,0.0,,0.0,0.0,,0.0,39.21907,-74.25449,0.0
235052361,2020-01-01 00:00:45,32.02394,-81.0462,0.0,132.9,511.0,0.0,,0.0,0.0,,0.0,32.02394,-81.0462,0.0
235053000,2020-01-01 00:01:02,32.02417,-81.0461,0.0,360.0,511.0,0.0,,0.0,0.0,,0.0,32.02417,-81.0461,0.0
235060304,2020-01-01 00:00:05,37.46788,-127.5846,12.6,155.0,151.0,0.0,,0.0,0.0,,0.0,37.46788,-127.5846,0.0
235076274,2020-01-01 00:00:08,28.34128,-94.42066,11.2,187.1,186.0,0.0,,0.0,0.0,,0.0,28.34128,-94.42066,0.0
235096399,2020-01-01 00:00:23,27.7897,-97.39081,0.1,152.1,511.0,0.0,,0.0,0.0,,0.0,27.7897,-97.39081,0.0
235108228,2020-01-01 00:00:16,25.77268,-80.14259,0.0,73.0,511.0,0.0,,0.0,0.0,,0.0,25.77268,-80.14259,0.0
235379000,2020-01-01 00:00:06,32.70472,-117.16237,0.0,0.0,511.0,0.0,,0.0,0.0,,0.0,32.70472,-117.16237,0.0
235554000,2020-01-01 00:00:59,33.74327,-118.2738,0.0,346.0,206.0,0.0,,0.0,0.0,,0.0,33.74327,-118.2738,0.0
235639000,2020-01-01 00:00:07,40.17729,-72.50308,5.6,71.6,72.0,0.0,,0.0,0.0,,0.0,40.17729,-72.50308,0.0
236538000,2020-01-01 00:00:44,27.51669,-90.10254,5.0,315.0,318.0,0.0,,0.0,0.0,,0.0,27.51669,-90.10254,0.0
239936000,2020-01-01 00:00:25,29.73257,-95.12712,0.0,328.0,269.0,0.0,,0.0,0.0,,0.0,29.73257,-95.12712,0.0
